scenario,adoption_rate,efficiency_a,average_speed,total_travel_time,total_energy_electric_mean,total_carbon_electric_mean,total_energy_gasoline_mean,total_carbon_gasoline_mean,E_electric_mean,E_drive_av_mean,E_compute_mean,E_v2x_mean,E_data_center_mean,E_RSU_mean,total_energy_electric_ci_lower,total_energy_electric_ci_upper,total_carbon_electric_ci_lower,total_carbon_electric_ci_upper,total_energy_gasoline_ci_lower,total_energy_gasoline_ci_upper,total_carbon_gasoline_ci_lower,total_carbon_gasoline_ci_upper,E_electric_ci_lower,E_electric_ci_upper,E_drive_av_ci_lower,E_drive_av_ci_upper,E_compute_ci_lower,E_compute_ci_upper,E_v2x_ci_lower,E_v2x_ci_upper,E_data_center_ci_lower,E_data_center_ci_upper,gasoline,electric,autonomous
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.07",0.0,0.7,23.02274813304104,1677579501.3247788,389152223.6772464,195021034.39225,3669136581.554532,8512396869.206513,386213510.04881865,3843.8542138427197,0.0,0.0,0.0,2931025.92,377094436.8915354,401928840.2981657,187021105.5174872,204032764.90580785,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374119450.12822515,398997046.2379199,0.0,16595.001821391572,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.07",0.0,0.7,23.02274813304104,1677579501.3247788,389701138.0595561,195021510.54694393,3669136581.554532,8512396869.206513,386762184.56224525,3963.788655447158,0.0,0.0,0.0,2931025.92,377247308.0470082,403089938.51261306,187029474.51555684,204335020.2992683,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374316282.1270082,400157104.3384013,0.0,15712.168238152162,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.07",0.0,0.7,23.02274813304104,1677579501.3247788,389592414.9337031,194925613.80765903,3669136581.554532,8512396869.206513,386653262.19960135,4063.407050897172,0.0,0.0,0.0,2931025.92,377376118.8317325,402270880.483831,186633550.7078822,203379926.33869147,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374441712.7631233,399339854.563831,0.0,15776.285641212911,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.07",0.0,0.7,23.02274813304104,1677579501.3247788,389321216.9144023,194934794.18262658,3669136581.554532,8512396869.206513,386382576.4752225,3807.259589852884,0.0,0.0,0.0,2931025.92,377272409.23817486,402050352.57468754,186897163.41761217,203815792.25919643,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374333087.7440259,399100911.3702869,0.0,15652.512652153371,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.07",0.0,0.7,23.02274813304104,1677579501.3247788,389177746.5154067,195106633.05368343,3669136581.554532,8512396869.206513,386239273.66367126,3723.4658676958775,0.0,0.0,0.0,2931025.92,376909079.3352521,402691158.9205951,187182147.11537656,204254294.95113593,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373965291.5773099,399760133.0005951,0.0,16272.692733236343,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.07",0.0,0.7,23.02274813304104,1677579501.3247788,389341018.28653526,194958491.4187094,3669136581.554532,8512396869.206513,386401486.1867103,4253.089912471934,0.0,0.0,0.0,2931025.92,376333952.6585864,402741029.41094947,186783618.94373906,204270280.4259874,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373402926.73858637,399809743.6556228,0.0,17090.767627464407,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.07",0.0,0.7,23.02274813304104,1677579501.3247788,389331669.5741769,194913453.75450727,3669136581.554532,8512396869.206513,386392876.4373546,3883.608411099747,0.0,0.0,0.0,2931025.92,376464650.70141846,402360634.9260918,186858193.61589444,203901356.34063327,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373528336.0153782,399429609.0060918,0.0,15764.551374424815,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.07",0.0,0.7,23.02274813304104,1677579501.3247788,389721197.45811236,195144706.25949278,3669136581.554532,8512396869.206513,386781352.14087903,4409.698616667036,0.0,0.0,0.0,2931025.92,377583968.43750614,402771230.2066686,187428022.36845043,203741452.6847847,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374636274.9353654,399832055.05543655,0.0,18092.378443589514,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.07",0.0,0.7,23.02274813304104,1677579501.3247788,389435652.76245135,195021327.53249228,3669136581.554532,8512396869.206513,386496492.4271474,4067.2076519649313,0.0,0.0,0.0,2931025.92,377336772.98842674,401512468.9672575,187291955.333907,203836193.23587844,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374382310.8590117,398581443.0472575,0.0,16986.047783806232,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.1, Routing 0.07",0.0,0.7,23.02274813304104,1677579501.3247788,389448062.4384887,195111526.67967317,3669136581.554532,8512396869.206513,386508726.39473486,4155.061876877062,0.0,0.0,0.0,2931025.92,377250279.0154,402218327.0026451,187235165.83953026,203551078.03469098,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374270709.10628796,399267563.4335069,0.0,17237.405832728746,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389411939.86044943,194951947.64085233,3669136581.554532,8512396869.206513,386472546.78715247,4183.57664852318,0.0,0.0,0.0,2931025.92,376872371.816432,402541833.46720845,187245942.44014347,203216422.33418736,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373920388.57287544,399595112.4540538,0.0,17780.23268280928,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389165921.34129417,195005597.5367184,3669136581.554532,8512396869.206513,386226448.6563961,4223.382449043147,0.0,0.0,0.0,2931025.92,377445877.236192,401539627.8260465,187166461.54264873,203981659.38809636,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374514851.316192,398600542.52847296,0.0,17833.197498985905,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,388969201.03740996,194786322.12639228,3669136581.554532,8512396869.206513,386029566.6472402,4304.235084852949,0.0,0.0,0.0,2931025.92,376672350.52445114,402110814.42842555,186986584.26702502,203641302.6951913,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373733630.9084067,399169815.27178377,0.0,16917.86106912873,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389608813.6613186,195058170.42460468,3669136581.554532,8512396869.206513,386670001.33940583,3893.20095641218,0.0,0.0,0.0,2931025.92,377213077.52702755,402092448.2167777,187400325.4828566,203340368.74585983,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374282051.60702753,399137641.3275433,0.0,16215.108387638149,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389022999.1271721,195010924.79526892,3669136581.554532,8512396869.206513,386083543.3751709,4214.916000587644,0.0,0.0,0.0,2931025.92,376908166.1238443,402256299.9940299,187130714.08768183,203459616.77610275,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373948629.0363729,399322968.4098579,0.0,16285.607162469665,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389486945.1907855,195134658.69411832,3669136581.554532,8512396869.206513,386548202.32726496,3858.4717602489336,0.0,0.0,0.0,2931025.92,376945886.5577517,402427207.49052846,187427631.78924477,203736987.58649027,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374014860.6377517,399474284.20035356,0.0,16420.433167435185,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389251292.8293129,195058682.4823534,3669136581.554532,8512396869.206513,386312643.49567014,3811.706821377009,0.0,0.0,0.0,2931025.92,377566435.3241799,400762450.42184633,187510219.53116095,203669684.84981015,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374634754.76170725,397831424.5018463,0.0,15879.51248724933,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389517073.2290768,195162349.53588733,3669136581.554532,8512396869.206513,386578566.5935083,3740.3577842218174,0.0,0.0,0.0,2931025.92,377415843.3970993,402629064.1755994,187293499.70754302,203573916.2897314,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374472941.5048321,399698038.2555994,0.0,15637.263900077904,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389408627.5875591,195171544.4647003,3669136581.554532,8512396869.206513,386469851.7143428,3874.976608115259,0.0,0.0,0.0,2931025.92,377372412.00050396,401747330.13861454,187520851.43318498,203901596.84472093,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374406975.974342,398815308.9827011,0.0,15884.453588629109,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.03",0.0,0.7,23.02274813304104,1677579501.3247788,389814028.0634665,195032263.9247656,3669136581.554532,8512396869.206513,386875087.7730171,3957.185224651677,0.0,0.0,0.0,2931025.92,377856730.50463957,402884024.35645276,187782440.87418365,203918880.5637068,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374920533.4175331,399952998.43645275,0.0,15412.66924772589,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389324116.15631825,194816495.59887946,3669136581.554532,8512396869.206513,386385892.1303697,3599.052974225639,0.0,0.0,0.0,2931025.92,376789602.21067446,401830854.3543743,186942624.4425572,203302394.44504797,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373851181.61825585,398887351.4086199,0.0,16085.527797804221,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389041171.3786909,194848519.42624238,3669136581.554532,8512396869.206513,386102231.9289748,3956.7648580764844,0.0,0.0,0.0,2931025.92,375422449.47145563,402874966.00951415,186241027.35844284,203924823.617385,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,372489878.0335969,399943303.8600083,0.0,16316.207079043705,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389278993.0557246,195203357.69827875,3669136581.554532,8512396869.206513,386340010.73440325,3978.200660646264,0.0,0.0,0.0,2931025.92,376923270.14713556,401931581.51603746,186800552.094987,203609498.30611664,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373987750.1382173,398993295.4675536,0.0,16895.74433027075,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389440417.3908506,194989945.37853864,3669136581.554532,8512396869.206513,386501431.7270015,3979.8719245867187,0.0,0.0,0.0,2931025.92,377452016.95490795,401917540.11611104,187049188.6286811,203340179.62602428,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,374520991.03490794,398986514.196111,0.0,17115.787524087315,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
"a 0.7 - adoption 0% - Gasoline 0.95, Electric 0.05, Autonomous 0.00 - Clustering 0.2, Routing 0.05",0.0,0.7,23.02274813304104,1677579501.3247788,389457956.7500545,195095413.97785768,3669136581.554532,8512396869.206513,386519215.14634925,3857.8418526105556,0.0,0.0,0.0,2931025.92,376939919.7387895,401773177.11853147,187154158.46418223,203649670.9155268,3669136581.554532,3669136581.554532,8512396869.206513,8512396869.206513,373989587.43374217,398842151.19853145,0.0,15486.272306110424,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0
